Q1	1	0.434	401583213
Q1	2	0.400	396937456
Q1	3	0.427	403641481
Q2	1	0.956	949832424
Q2	2	0.930	990934628
Q2	3	0.879	956123700
Q3	1	0.319	142717689
Q3	2	0.265	143839389
Q3	3	0.261	145886864
Q4	1	0.255	318547476
Q4	2	0.247	361083239
Q4	3	0.233	343839210
Q5	1	0.037	24669649
Q5	2	0.024	24243383
Q5	3	0.026	23424600
Q6	1	0.031	15784771
Q6	2	0.025	15720451
Q6	3	0.025	15720451
Q7	1	0.045	12551745
Q7	2	0.042	12537825
Q7	3	0.041	12537825
Q8	1	0.033	9381951
Q8	2	0.028	8667779
Q8	3	0.027	9360847
Q9	1	0.464	405966036
Q9	2	0.431	450043688
Q9	3	0.418	454563660
