Q1	1	0.008	9807211
Q1	2	0.008	10127908
Q1	3	0.007	10132004
Q2	1	0.492	2608499303
Q2	2	0.478	2596714437
Q2	3	0.468	2588539664
Q3	1	0.383	1755837451
Q3	2	0.253	1840422175
Q3	3	0.252	1837065322
Q4	1	0.253	1671129569
Q4	2	0.202	1212260280
Q4	3	0.203	1203520483
Q5	1	0.206	1182702094
Q5	2	0.199	1211429395
Q5	3	0.247	1175947223
Q6	1	0.632	5197666437
Q6	2	0.605	5024468901
Q6	3	0.610	4972237979
Q7	1	0.914	4768316353
Q7	2	0.954	5093171229
Q7	3	0.978	4711963306
Q8	1	0.121	5601889
Q8	2	0.116	5601889
Q8	3	0.112	5610030
Q9	1	0.005	4565282
Q9	2	0.006	4324429
Q9	3	0.006	3446647
Q10	1	0.009	22839922
Q10	2	0.008	22839474
Q10	3	0.008	23570728
Q11	1	0.002	351055
Q11	2	0.003	351055
Q11	3	0.002	351055
Q12	1	0.010	91461080
Q12	2	0.010	91460056
Q12	3	0.010	91460824
Q13	1	0.040	607867552
Q13	2	0.041	603345248
Q13	3	0.041	608391792
Q14	1	0.069	729624845
Q14	2	0.063	725070726
Q14	3	0.060	736017944
