cpu_model	AMD RYZEN AI MAX+ PRO 395 w/ Radeon 8060S
cpu_cores	32
mem_total	93.3 GiB
os	Fedora Linux 44
kernel	7.1.6-201.fc44.x86_64
server_tz	Europe/Zurich
ch_server_tz	Europe/Zurich
