Q1	1	4.746	4205284798
Q1	2	4.710	4211322506
Q1	3	4.459	4197565615
Q2	1	5.164	4223201683
Q2	2	4.950	4229584130
Q2	3	4.944	4207727669
Q3	1	170.889	4404172829
Q3	2	177.998	4395969465
Q3	3	176.550	4395226489
Q4	1	4.917	4207767990
Q4	2	4.738	4186200835
Q4	3	4.730	4192079249
Q5	1	0.001	84640
Q5	2	0.001	84640
Q5	3	0.001	84640
Q6	1	4.848	4177595648
Q6	2	4.786	4172226908
Q6	3	4.709	4181746448
Q7	1	0.039	29267918
Q7	2	0.031	29244974
Q7	3	0.026	27351473
Q8	1	176.231	4402573708
Q8	2	176.359	4404697361
Q8	3	176.459	4401698612
Q9	1	0.001	84640
Q9	2	0.001	84640
Q9	3	0.001	84640
