stmt	status	rows	note
1	ok	15	
2	ok	13	
3	ok	9	
4	ok	3	
5	ok	3	
6	ok	20	
7	ok	20	
8	ok	1	
9	ok	10	
10	ok	1	
11	ok	1	
12	ok	1	
13	ok	1	
14	ok	10	
