Q1	1	0.024	8336250
Q1	2	0.023	8335738
Q1	3	0.023	8335738
Q2	1	0.714	5114138859
Q2	2	0.723	5006586473
Q2	3	0.714	4982060592
Q3	1	0.372	3730310897
Q3	2	0.374	3557154407
Q3	3	0.369	3669535006
Q4	1	0.656	5010389748
Q4	2	0.674	4892259284
Q4	3	0.658	5008286280
Q5	1	0.657	4970222524
Q5	2	0.657	4913594276
Q5	3	0.662	5096532058
Q6	1	0.739	4628974085
Q6	2	0.721	4685690453
Q6	3	0.710	4661910097
Q7	1	1.037	4720612835
Q7	2	1.041	4743295088
Q7	3	1.064	4651705900
Q8	1	0.171	462040
Q8	2	0.173	462040
Q8	3	0.172	466144
Q9	1	0.016	3964245
Q9	2	0.017	3964245
Q9	3	0.016	3964245
Q10	1	0.059	11671494
Q10	2	0.056	11671494
Q10	3	0.057	11671494
Q11	1	0.002	93888
Q11	2	0.001	93888
Q11	3	0.001	93888
Q12	1	0.044	70521232
Q12	2	0.043	72040848
Q12	3	0.042	69607824
Q13	1	0.115	597206856
Q13	2	0.112	597731288
Q13	3	0.115	597797400
Q14	1	0.080	721741919
Q14	2	0.085	709659087
Q14	3	0.087	720016850
