Q1	1	0.008	9856416
Q1	2	0.007	11202718
Q1	3	0.007	11219502
Q2	1	1.121	14560391284
Q2	2	1.059	14256778681
Q2	3	1.105	13972134179
Q3	1	0.830	12299285673
Q3	2	0.776	11626103742
Q3	3	0.747	11746529335
Q4	1	1.202	17865871986
Q4	2	1.219	17604867270
Q4	3	1.132	18131256615
Q5	1	1.109	17998747718
Q5	2	1.166	17654132087
Q5	3	1.120	17468691555
Q6	1	0.535	4960711992
Q6	2	0.530	4714061356
Q6	3	0.529	4846072403
Q7	1	0.850	4895361508
Q7	2	0.850	5032186521
Q7	3	0.838	4906857829
Q8	1	0.128	25994609
Q8	2	0.135	28074604
Q8	3	0.127	32407503
Q9	1	0.005	3926350
Q9	2	0.004	3780425
Q9	3	0.007	3001965
Q10	1	0.032	16934443
Q10	2	0.012	17696490
Q10	3	0.012	18523602
Q11	1	0.002	93872
Q11	2	0.001	93872
Q11	3	0.001	93872
Q12	1	0.010	91461032
Q12	2	0.013	91459608
Q12	3	0.011	91459976
Q13	1	0.063	678868816
Q13	2	0.062	681065232
Q13	3	0.062	678868624
Q14	1	0.075	716249936
Q14	2	0.069	730408555
Q14	3	0.086	728093289
