Q1	1	0.006	4982071
Q1	2	0.006	4977335
Q1	3	0.006	4968927
Q2	1	0.046	56744902
Q2	2	0.043	57803430
Q2	3	0.046	56229438
Q3	1	0.014	9826226
Q3	2	0.013	11693535
Q3	3	0.014	11608135
Q4	1	0.023	34209718
Q4	2	0.025	30518833
Q4	3	0.025	33369566
Q5	1	0.027	34359918
Q5	2	0.026	34359758
Q5	3	0.027	32104239
