Q1	1	0.045	132795678
Q1	2	0.045	128488993
Q1	3	0.044	166859395
Q2	1	0.464	579776111
Q2	2	0.453	575524413
Q2	3	0.433	592164700
Q3	1	0.111	128417945
Q3	2	0.119	137102503
Q3	3	0.115	140379904
Q4	1	0.303	459487743
Q4	2	0.298	462082123
Q4	3	0.295	449216294
Q5	1	0.303	470121357
Q5	2	0.304	474218784
Q5	3	0.285	473425591
Q6	1	0.358	432413958
Q6	2	0.367	422805671
Q6	3	0.368	429134426
Q7	1	0.722	983454309
Q7	2	0.697	962918728
Q7	3	0.722	963831400
Q8	1	0.188	145688369
Q8	2	0.189	144266583
Q8	3	0.193	147026325
Q9	1	0.193	423871598
Q9	2	0.197	402186942
Q9	3	0.205	344675210
Q10	1	0.016	24243383
Q10	2	0.018	24239279
Q10	3	0.015	24243543
Q11	1	0.014	17813635
Q11	2	0.031	15847494
Q11	3	0.015	15720451
Q12	1	0.026	12537825
Q12	2	0.027	12533729
Q12	3	0.024	12537825
Q13	1	0.016	9360847
Q13	2	0.017	9360847
Q13	3	0.014	9360847
Q14	1	0.380	413159171
Q14	2	0.367	445009675
Q14	3	0.378	426830282
