Q1	1	106.509	1287216681
Q1	2	105.743	1428590111
Q1	3	103.603	1279025466
Q2	1	8.632	1017104007
Q2	2	8.866	1033971418
Q2	3	8.670	1027002102
Q3	1	5.068	425822312
Q3	2	4.985	431445398
Q3	3	5.015	445813422
Q4	1	3.583	602968641
Q4	2	3.578	585012550
Q4	3	3.577	605677410
Q5	1	2.427	147564149
Q5	2	2.043	145675684
Q5	3	2.028	143781522
Q6	1	17.317	1410421331
Q6	2	17.265	1325496821
Q6	3	17.205	1342010387
Q7	1	2.111	334564771
Q7	2	2.078	339973541
Q7	3	2.100	359409047
Q8	1	0.260	27194363
Q8	2	0.244	27168747
Q8	3	0.243	27169115
Q9	1	2.888	219070713
Q9	2	2.381	222733745
Q9	3	2.372	228730238
Q10	1	0.354	83763549
Q10	2	0.297	92057186
Q10	3	0.311	94700056
Q11	1	4.910	310382336
Q11	2	4.938	308835926
Q11	3	4.924	317756247
Q12	1	3.654	432392779
Q12	2	3.528	407241878
Q12	3	3.424	410978676
Q13	1	0.893	139296384
Q13	2	0.833	121683080
Q13	3	0.860	95399267
